('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_083141.546_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_083143.644_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_083145.988_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_083147.419_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_083154.912_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_083216.020_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_083225.941_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_083314.573_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_083317.519_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_083603.202_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_083604.934_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_084052.726_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_084119.759_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_084124.813_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_084141.657_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_084148.231_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_084152.399_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_084201.603_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_084207.747_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_084212.794_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_084220.390_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_084225.297_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_084228.858_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_084232.386_face.jpg', u'male', u'Unknown')
